"2454","2H AB"
"5024","14D"
"5038","13D"
"5359","2H Luisa"
"5368","b7C"
"5611","11C"
"5644","2F AB"
"5686","6i AB"
"5806","2C AB"
"5954","2E 19CC"
"6056","1E AB"
"6074","6G AB"
"6078","4D AB"
"6081","11C"
"6092","6i AB"
"6096","6G AB"
"6122","3e AB"
"6219","6G"
"6222","6G"
"6223","6g"
"6224","6G"
"6225","6G"
"6226","6G"
"6310","3H AB"
"6404","1j"
"6412","11C"
"6437","9D"
"6477","3H AB"
"6621","1J AB"
"6636","1H AB"
"6673","17E MAXI"
"6705","3C"
"6832"," 2F AB"
"6961","3E"
"7619","2F 19CC"
"7643",""
"8106","2B"
"8112","b2g"
"8216","1G AB"
"8236","7G AB"
"8343","1i AB"
"8364","6H"
"8410","1i"
"8445"," 2F AB"
"8454","1J"
"8465","2E AB"
"8466","7k"
"8554","10C"
"8575","1B AB"
"8581","4F AB"
"8594","2F AB "
"8611","1e AB"
"8613","7D AB"
"8648","2H AB"
"8691","4E"
"8812","2E AB"
"8855","2G AB"
"8938","3i"
"8962","1E"
"9009","6H AB"
"9030","12D"
"9031","12E"
"9033","4i AB"
"9107","6G"
"9109","6G"
"9110","1f AB"
"9160","1e AB"
"9168","b2b"
"9201","6i"
"9297","4B AB"
"9331","1j"
"9372","1E AB"
"9471","2H AB"
"9561","2B"
"9606","4F AB"
"9614","3C AB"
"9621","3i AB"
"9731","4A"
"9732","4A"
"9733","4A"
"9782","15D"
"9828","2H AB"
"9872","1G AB"
"9882","2B AB"
"9888","2E AB"
"9950","1B AB"
"9974","3B AB"
"10099","b2b"
"10137","3H AB"
"10159","6h AB"
"10161","6h AB"
"10236","6H"
"10245","1F AB"
"10249","6G"
"10415","6G"
"10416","2F AB"
"10481","2C"
"10493","7G"
"10508","6G"
"10512","6G"
"10591","1J"
"10593","1B"
"10608","6J"
"10623","1B AB"
"10630","B3D"
"10631","9J"
"10639","2F AB"
"10641","R2A 19CC"
"10644","2e AB"
"10645","6D AB"
"10646","4B AB"
"10647","2G AB"
"10648","9e AB"
"10649","2C AB"
"10650","1G 17JM"
"10653"," 7c AB "
"10654","2C AB"
"10655","1G 17JM"
"10656","3H AB"
"10661","2C AB"
"10662","1G 19CC"
"10667","1G 17JM"
"10669","3e 19CC"
"10672","8B 17JM"
"10673","R2A 19CC"
"10674","2m AB"
"10676"," 3H AB"
"10678","1F AB"
"10679"," 3G 19CC"
"10680"," 2C 19CC"
"10681"," 1F 19CC"
"10685","3h 20H"
"10688","9e 18G"
"10690","1i 17JM"
"10693","1i 17JM"
"10696","4G 17JM"
"10698","2L 17JM"
"10699","3E 17JM"
"10708","3E 20H"
"10712","4i AB"
"10715","3E 17JM"
"10719","3E 17JM"
"10720","1 Alto V2020"
"10721","3E 17JM"
"10723","3E 19CC"
"10726","Casa AB"
"10728","Casa AB"
"10729","Casa AB"
"10730","Casa AB"
"10731","Casa AB"
"10732","Casa AB"
"10733","Casa AB"
"10734","3J "
"10752","4E 17JM"
"10754","1i 17JM"
"10770","2c 17JM"
"10775","5F 17JM"
"10783","9e 17JM"
"10784","6i 17JM"
"10785","5F 17JM"
"10790","9f"
"10792","9E 18G"
"10801","4i 17JM"
"10805","4H 17JM"
"10813","3i 19CC"
"10814","4E 19P"
"10816","4E 19CC"
"10818","6H 17JM"
"10819","6H 17JM"
"10821","6i 17JM"
"10822","3i AB"
"10825","7d AB"
"10826"," 2G AB"
"10829","5F AB"
"10831","2F AB"
"10835"," 3F 19P"
"10837","3B 17JM"
"10839","6F AB"
"10843"," 1G 19CC"
"10846","4F 19P"
"10847"," 7h AB"
"10848"," 4B 17JM"
"10849"," 9F AB"
"10850"," 3G AB"
"10860"," 2B AB"
"10862"," 7i AB"
"10866"," 3G 19P"
"10867","6f 18G"
"10869"," 9d 18G"
"10871","3F AB"
"10874","3C AB"
"10875","2i AB"
"10876","3E AB"
"10884","3C AB"
"10885","3C AB"
"10889","3E AB"
"10890","3E AB"
"10896","6H 17JM"
"10898","6H 19CC"
"10899","6H 19CC"
"10905","6C 18R"
"10906","6c 18R"
"10912","4B 17JM"
"10916","7i AB"
"10917","R1A 23SU"
"10918","2G AB"
"10920","6C AB"
"10921","4B 17JM"
"10922","3G AB"
"10923","1E AB"
"10926","2E AB"
"10930","3D 18R"
"10932","2F AB"
"10934","2H AB"
"10935","2f AB"
"10939","2E AB"
"10940","1F AB"
"10943","4E 17JM"
"10944","3B 17JM"
"10953","1F 17JM"
"10954","1G 17JM"
"10961","1f 17JM"
"10963","3G CC19"
"10964","6B 17JM"
"10966","1E 18V"
"10967","7i 19CC"
"10968","6g 19CC"
"10974","3F 17JM"
"10975","3H 19CC"
"10976","3H 19CC"
"10977","6E 17JM"
"10978","Casa AB"
"10979","Casa AB"
"10980","Casa AB"
"10981","Casa AB"
"10982","Casa AB"
"10983","Casa AB"
"10984","Casa AB"
"10986","3H AB"
"10987","3g 19P"
"10988","3G AB"
"10989","2H AB"
"10993","1H 18V"
"10994","6E 17JM"
"10995","4F AB"
"10996","4F 17JM"
"10998","2G AB"
"10999","6F 19CC"
"11000","Casa AB"
"11001","3E 17JM"
"11002","8c 17JM"
"11004","1i 17JM"
"11009","12D 18V"
"11013","4B 19CC"
"11018","5G Chica"
"11019","Chica"
"11022","1F AB"
"11023","Mueble Blanco"
"11024","3G AB"
"11028","7G AB"
"11029","9E 17JM"
"11031","4d AB"
"11032","3H AB"
"11034","2E AB"
"11035","4A AB"
"11037","Casa AB"
"11039","Casa AB"
"11040","2H"
"11041","MCA 18V"
"11042","2H AB"
"11044","Casa AB"
"11047","Carpeta"
"11048","2G AB"
"11049","2D AB"
"11050","5D AB"
"11052","2C AB"
"11054","1F AB"
"11055","3G AB"
"11056","2H AB"
"11061","Casa AB"
"11063","C. Cuadrada AB"
"11064","1E AB"
"11065","1E AB"
"11066","t1i 18R"
"11067","3G AB"
"11070","Casa AB"
"11075","1H 18G"
"11076","3G AB"
"11077","Casa AB"
"11081","Casa AB"
"11083","8b 17JM"
"11085","1H AB"
"11087","1D AB"
"11091","2H AB"
"11092","Carpeta"
"11095","3H AB"
"11097","¿? AB"
"11101","3G AB"
"11102","2d AB"
"11103","Casa AB C. Cuadrada"
"11104","3c AB"
"11107","1G 17JM"
"11108","2F AB"
"11111","2F AB"
"11112","1i AB"
"11113","5d AB"
"11116","6F AB"
"11117","¿? AB"
"11118","1F AB"
"11119","6J AB"
"11120","Casa AB"
"11122","R3A 19CC"
